OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_PROFILE_GROUP,By.CLASS_NAME,tab-profile-group,1232,0,184,62
CLASS_TAB_ENABLED_2,By.CLASS_NAME,tab-enabled-2,1416,0,184,62
CONTENT_PROFILE_OPTIONS_STYLE_VALITSE_MIELEISESI_PROFIILIS_VY,By.CSS_SELECTOR,.content-profile-options>.style-header>h2,1240,80,352,28
ALT_PANELPROFILE_GLOSS_WHITE_A103,By.CSS_SELECTOR,img[alt="panelprofile_gloss_white_a103"],1246,136,69,69
CONTENT_PROFILE_OPTIONS_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT,By.CSS_SELECTOR,.content-profile-options>.style-container-list>div.style.data-set-save-data-bint>div.style-label,1322,152,272,33
ALT_PANELPROFILE_ANODISED_SILVER_A103,By.CSS_SELECTOR,img[alt="panelprofile_anodised_silver_a103"],1246,233,69,69
ALT_PANELPROFILE_ANODISED_OLIVE_A103,By.CSS_SELECTOR,img[alt="panelprofile_anodised_olive_a103"],1246,329,69,69
ALT_PANELPROFILE_SATIN_BLACK_A103,By.CSS_SELECTOR,img[alt="panelprofile_satin_black_a103"],1246,426,69,69
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
