OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
MEASURE_TITLE_MITTAA_JA_RAKENNA,By.CSS_SELECTOR,.section-measure>.section-title>span,0,694,533,23
DESIGN_TITLE_LIUKUOVIEN_SUUNNITTELU,By.CSS_SELECTOR,.section-design>.section-title>span,533,694,533,23
SAVE_TITLE_TALLENNUS_JA_YHTEYDENOTTO,By.CSS_SELECTOR,.section-save>.section-title>span,1067,694,533,23
CRUMB_FIVEWAY_1,By.CSS_SELECTOR,.section-crumb-fiveway>.crumb-1,103,757,13,13
CRUMB_FIVEWAY_2,By.CSS_SELECTOR,.section-crumb-fiveway>.crumb-2,182,757,13,13
CRUMB_FIVEWAY_3,By.CSS_SELECTOR,.section-crumb-fiveway>.crumb-3,262,757,13,13
CLASS_CRUMB_4,By.CLASS_NAME,crumb-4,342,757,13,13
CLASS_CRUMB_5,By.CLASS_NAME,crumb-5,422,757,13,13
DESIGN_CRUMB_THREEWAY_1,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.crumb-1,636,757,13,13
DESIGN_CRUMB_THREEWAY_2,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.crumb-2,796,757,13,13
DESIGN_CRUMB_THREEWAY_3,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.crumb-3,956,757,13,13
SAVE_CRUMB_THREEWAY_1,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.crumb-1,1169,757,13,13
SAVE_CRUMB_THREEWAY_2,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.crumb-2,1329,757,13,13
SAVE_CRUMB_THREEWAY_3,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.crumb-3,1489,757,13,13
CRUMB_FIVEWAY_LINE_1,By.CSS_SELECTOR,.section-crumb-fiveway>.line-1,107,761,80,1
CRUMB_FIVEWAY_LINE_2,By.CSS_SELECTOR,.section-crumb-fiveway>.line-2,187,761,80,1
CLASS_LINE_3,By.CLASS_NAME,line-3,267,761,80,1
CLASS_LINE_4,By.CLASS_NAME,line-4,347,761,80,1
DESIGN_CRUMB_THREEWAY_LINE_1,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.line-1,640,761,160,1
DESIGN_CRUMB_THREEWAY_LINE_2,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.line-2,800,761,160,1
SAVE_CRUMB_THREEWAY_LINE_1,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.line-1,1173,761,160,1
SAVE_CRUMB_THREEWAY_LINE_2,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.line-2,1333,761,160,1
