OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_SEPARATORS_LAYOUT,By.CLASS_NAME,tab-separators-layout,1232,0,184,62
CLASS_TAB_SEPARATORS_CUSTOM,By.CLASS_NAME,tab-separators-custom,1416,0,184,62
CONTENT_SEPARATORS_CUSTOM_STYLE_LIS_POISTA_TAI_D_JAKOLISTOJA_MIELESI,By.CSS_SELECTOR,.content-separators-custom>.style-header>h2,1240,80,352,56
CLASS_NUM,By.CLASS_NAME,num,1246,172,90,28
CLASS_SIZE,By.CLASS_NAME,size,1336,172,168,28
CLASS_ADD_SEPARATOR,By.CLASS_NAME,add-separator,1240,242,335,32
CONTENT_SEPARATORS_CUSTOM_STYLE_CONTROL_CHECKBOX,By.CSS_SELECTOR,.content-separators-custom>.style-footer>.control-checkbox>label>.custom-checkbox,1246,589,20,20
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
