OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
EMBER857_GLYPHICON_USER,By.CSS_SELECTOR,#ember857>.glyphicon-user,1162,18,12,12
EMBER942_GLYPHICON_BRIEFCASE,By.CSS_SELECTOR,#ember942>.glyphicon-briefcase,1258,18,12,12
CLASS_GLYPHICON_QUESTION_SIGN,By.CLASS_NAME,glyphicon-question-sign,1444,18,12,12
EMBER757_GLYPHICON_LOG_OUT,By.CSS_SELECTOR,#ember757>.glyphicon-log-out,1477,18,12,12
CLASS_LOGO_MAIN,By.CLASS_NAME,logo-main,80,20,100,100
CLASS_NOTIFICATION,By.CLASS_NAME,notification,180,30,4,4
GLYPHICON_USER,By.CSS_SELECTOR,h1>.glyphicon-user,467,104,36,36
CONTACT_CARD,By.LINK_TEXT,Contact Card,702,155,116,42
CLASS_GLYPHICON_DASHBOARD,By.CLASS_NAME,glyphicon-dashboard,32,166,14,14
CLASS_GLYPHICON_PENCIL,By.CLASS_NAME,glyphicon-pencil,836,168,14,14
CLASS_GLYPHICON_SHOPPING_CART,By.CLASS_NAME,glyphicon-shopping-cart,32,202,14,14
CLASS_IMG_CIRCLE,By.CLASS_NAME,img-circle,715,225,128,128
CLASS_GLYPHICON_TH,By.CLASS_NAME,glyphicon-th,32,238,14,14
CLASS_GLYPHICON_PLANE,By.CLASS_NAME,glyphicon-plane,987,242,24,24
CLASS_GLYPHICON_CERTIFICATE,By.CLASS_NAME,glyphicon-certificate,32,274,14,14
CONTAINS_TEXT_UK_ENGLISH,By.XPATH,//button[contains(text()@@@"UK English")],893,278,124,46
CONTAINS_TEXT_SUOMI,By.XPATH,//button[contains(text()@@@"Suomi")],1020,278,85,46
EMBER1046_GLYPHICON_BRIEFCASE,By.CSS_SELECTOR,#ember1046>.glyphicon-briefcase,32,310,14,14
CLASS_GLYPHICON_GBP,By.CLASS_NAME,glyphicon-gbp,32,346,14,14
EMBER1070_GLYPHICON_USER,By.CSS_SELECTOR,#ember1070>.glyphicon-user,32,382,14,14
GLYPHICON_BRIEFCASE,By.CSS_SELECTOR,h2>.glyphicon-briefcase,707,409,30,30
CLASS_GLYPHICON_COG,By.CLASS_NAME,glyphicon-cog,32,418,14,14
RETAILER_SIDEBAR,By.CSS_SELECTOR,#retailer-sidebar>hr,0,464,260,2
ID_EMBER1099,By.ID,ember1099,716,465,76,16
EMBER770_GLYPHICON_USER,By.CSS_SELECTOR,#ember770>.glyphicon-user,32,496,14,14
ID_EMBER1105,By.ID,ember1105,716,507,64,16
EMBER1224,By.CSS_SELECTOR,#ember1224>.img,829,511,16,16
EMBER1227,By.CSS_SELECTOR,#ember1227>.img,860,511,16,16
EMBER1230,By.CSS_SELECTOR,#ember1230>.img,891,511,16,16
EMBER1233,By.CSS_SELECTOR,#ember1233>.img,1002,511,16,16
EMBER1236,By.CSS_SELECTOR,#ember1236>.img,1033,511,16,16
EMBER1239,By.CSS_SELECTOR,#ember1239>.img,1064,511,16,16
EMBER772_GLYPHICON_LOG_OUT,By.CSS_SELECTOR,#ember772>.glyphicon-log-out,32,532,14,14
EMBER1242,By.CSS_SELECTOR,#ember1242>.img,829,536,16,16
EMBER1245,By.CSS_SELECTOR,#ember1245>.img,945,536,16,16
EMBER1248,By.CSS_SELECTOR,#ember1248>.img,1056,536,16,16
EMBER1251,By.CSS_SELECTOR,#ember1251>.img,1087,536,16,16
EMBER1254,By.CSS_SELECTOR,#ember1254>.img,829,561,16,16
EMBER1257,By.CSS_SELECTOR,#ember1257>.img,860,561,16,16
EMBER1260,By.CSS_SELECTOR,#ember1260>.img,891,561,16,16
EMBER1263,By.CSS_SELECTOR,#ember1263>.img,922,561,16,16
EMBER1266,By.CSS_SELECTOR,#ember1266>.img,829,586,16,16
EMBER1269,By.CSS_SELECTOR,#ember1269>.img,962,586,16,16
EMBER1272,By.CSS_SELECTOR,#ember1272>.img,829,611,16,16
EMBER1275,By.CSS_SELECTOR,#ember1275>.img,946,611,16,16
EMBER1278,By.CSS_SELECTOR,#ember1278>.img,829,636,16,16
EMBER1281,By.CSS_SELECTOR,#ember1281>.img,946,636,16,16
EMBER1284,By.CSS_SELECTOR,#ember1284>.img,829,661,16,16
EMBER1287,By.CSS_SELECTOR,#ember1287>.img,920,661,16,16
ID_EMBER1130,By.ID,ember1130,716,699,56,16
ID_EMBER1140,By.ID,ember1140,716,789,145,34
TRACK_ORDERS,By.LINK_TEXT,Track orders,0,192,260,36
