OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_LOGO_PRIMARY,By.CLASS_NAME,logo-primary,736,251,128,128
CLASS_LOGO_SECONDARY,By.CLASS_NAME,logo-secondary,736,251,128,128
CLASS_LOGO_EFFECT,By.CLASS_NAME,logo-effect,736,251,128,128
ID_EMBER607,By.ID,ember607,702,411,196,35
CLASS_PHOTO,By.CLASS_NAME,photo,864,413,32,32
ID_EMBER609,By.ID,ember609,702,461,196,35
CLASS_BTN_DEFAULT,By.CLASS_NAME,btn-default,750,529,100,34
CLASS_GLYPHICON_LOG_IN,By.CLASS_NAME,glyphicon-log-in,793,538,14,14
username_field,By.XPATH,//BODY/DIV[1]/DIV[1]/FORM[1]/DIV[1]/INPUT[1],702,407,196,35
password_field,By.XPATH,//BODY/DIV[1]/DIV[1]/FORM[1]/DIV[2]/INPUT[1],702,457,196,35
login_button,By.XPATH,//BODY/DIV[1]/DIV[1]/FORM[1]/BUTTON[1],750,525,100,34
login_button,By.XPATH,//button,750,525,100,34
