OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_FRAME_SHAPE,By.CLASS_NAME,tab-frame-shape,1232,0,184,62
CLASS_TAB_FRAME_MATERIAL,By.CLASS_NAME,tab-frame-material,1416,0,184,62
CONTENT_MATERIAL_STYLE_KEH_VY,By.CSS_SELECTOR,.content-frame-material>.style-header>h2,1240,80,352,28
CONTENT_MATERIAL_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT_SELECTION_0,By.CSS_SELECTOR,.content-frame-material>.style-container-list>div.style.data-set-save-data-bint>.selection-checked>.icon,1242,136,335,80
CONTENT_MATERIAL_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT_SELECTION,By.CSS_SELECTOR,.content-frame-material>.style-container-list>div.style.data-set-save-data-bint>.selection-checked>.bg,1242,136,335,80
CONTENT_MATERIAL_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT_THUMB,By.CSS_SELECTOR,.content-frame-material>.style-container-list>div.style.data-set-save-data-bint>div.style-thumb>img,1246,136,69,69
CONTENT_MATERIAL_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT_LUMIVALKEA,By.CSS_SELECTOR,.content-frame-material>.style-container-list>div.style.data-set-save-data-bint>div.style-label,1322,152,255,33
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
