OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_MATERIALS_MATERIAL,By.CLASS_NAME,tab-materials-material,1232,0,184,62
CLASS_TAB_MATERIALS_TEXTURE,By.CLASS_NAME,tab-materials-texture,1416,0,184,62
CONTENT_MATERIALS_TEXTURE_STYLE_PINTAMATERIAALI_VAIHTOEHDOT,By.CSS_SELECTOR,.content-materials-texture>.style-header>h2,1240,80,352,28
ALT_PANELMATERIAL_FINLAND_PAHKINA_V,By.CSS_SELECTOR,img[alt="panelmaterial_finland_pahkina_v"],1268,136,76,76
ALT_PANELMATERIAL_FINLAND_PAHKINA_H,By.CSS_SELECTOR,img[alt="panelmaterial_finland_pahkina_h"],1364,136,76,76
ALT_PANELMATERIAL_FINLAND_PYOKKI_V,By.CSS_SELECTOR,img[alt="panelmaterial_finland_pyokki_v"],1460,136,76,76
ALT_PANELMATERIAL_FINLAND_PYOKKI_H,By.CSS_SELECTOR,img[alt="panelmaterial_finland_pyokki_h"],1268,233,76,76
ALT_PANELMATERIAL_FINLAND_TAMMI_H,By.CSS_SELECTOR,img[alt="panelmaterial_finland_tammi_h"],1364,233,76,76
ALT_PANELMATERIAL_FINLAND_TAMMI_V,By.CSS_SELECTOR,img[alt="panelmaterial_finland_tammi_v"],1460,233,76,76
ALT_PANELMATERIAL_FINLAND_TUMMA_PAHKINA_V,By.CSS_SELECTOR,img[alt="panelmaterial_finland_tumma_pahkina_v"],1268,329,76,76
ALT_PANELMATERIAL_FINLAND_TUMMA_PAHKINA_H,By.CSS_SELECTOR,img[alt="panelmaterial_finland_tumma_pahkina_h"],1364,329,76,76
ALT_PANELMATERIAL_FINLAND_VALKEA_H,By.CSS_SELECTOR,img[alt="panelmaterial_finland_valkea_h"],1460,329,76,76
ALT_PANELMATERIAL_FINLAND_WENGE_H,By.CSS_SELECTOR,img[alt="panelmaterial_finland_wenge_h"],1272,426,76,76
ALT_PANELMATERIAL_H1137_BLACK_FERRERA_OAK_VERTICAL,By.CSS_SELECTOR,img[alt="panelmaterial_h1137_black_ferrera_oak_(vertical)"],1368,426,76,76
ALT_PANELMATERIAL_H1137_BLACK_FERRERA_OAK_HORIZONTAL,By.CSS_SELECTOR,img[alt="panelmaterial_h1137_black_ferrera_oak_(horizontal)"],1464,426,76,76
ID_MATERIAL_OPTION_BACK,By.ID,material-option-back,1240,583,352,32
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
