OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_PROFILE_GROUP,By.CLASS_NAME,tab-profile-group,1232,0,368,62
CONTENT_PROFILE_GROUP_STYLE_VALITSE_MIELEISESI_LIUKUOVIPROFIILI,By.CSS_SELECTOR,.content-profile-group>.style-header>h2,1240,80,352,28
ALT_S200,By.CSS_SELECTOR,img[alt="S200"],1242,136,76,76
CONTENT_PROFILE_GROUP_STYLE_CONTAINER_LIST_SELECTION_CHECKED_ICON,By.CSS_SELECTOR,.content-profile-group>.style-container-list>div.style>.selection-checked>.icon,1242,136,335,80
CONTENT_PROFILE_GROUP_STYLE_CONTAINER_LIST_SELECTION_CHECKED_BG,By.CSS_SELECTOR,.content-profile-group>.style-container-list>div.style>.selection-checked>.bg,1242,136,335,80
CONTENT_PROFILE_GROUP_STYLE_CONTAINER_LIST_S200,By.CSS_SELECTOR,.content-profile-group>.style-container-list>div.style>div.style-label,1322,152,255,33
ALT_S100,By.CSS_SELECTOR,img[alt="S100"],1242,233,76,76
ALT_A101,By.CSS_SELECTOR,img[alt="A101"],1242,329,76,76
ALT_A102,By.CSS_SELECTOR,img[alt="A102"],1242,426,76,76
ALT_A103,By.CSS_SELECTOR,img[alt="A103"],1242,522,76,76
ALT_A104,By.CSS_SELECTOR,img[alt="A104"],1242,619,76,76
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
CONTENT_PROFILE_GROUP_STYLE_CONTAINER_LIST_SELECTION_CHECKED_ICON,By.CSS_SELECTOR,.content-profile-group>.style-container-list>div.style>.selection-checked>.icon,1242,136,335,80
ALT_S100,By.CSS_SELECTOR,img[alt="S100"],1242,233,76,76
ALT_A101,By.CSS_SELECTOR,img[alt="A101"],1242,329,76,76
ALT_A102,By.CSS_SELECTOR,img[alt="A102"],1242,442,76,76
ALT_A103,By.CSS_SELECTOR,img[alt="A103"],1242,538,76,76
ALT_A104,By.CSS_SELECTOR,img[alt="A104"],1242,635,76,76
