OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_PROFILE_GROUP,By.CLASS_NAME,tab-profile-group,1232,0,121,62
CLASS_TAB_ENABLED_2,By.CLASS_NAME,tab-enabled-2,1353,0,121,62
CLASS_TAB_ENABLED_3,By.CLASS_NAME,tab-enabled-3,1475,0,125,62
CONTENT_PROFILE_EXTRAS_STYLE_LIUKUOVEN_HIDASTIMET,By.CSS_SELECTOR,.content-profile-extras>.style-header>h2,1240,80,352,28
CONTENT_PROFILE_EXTRAS_STYLE_CONTAINER_LIST_T_H_N_PROFIILIIN,By.CSS_SELECTOR,.content-profile-extras>.style-container-list>p,1240,150,352,20
CONTENT_PROFILE_EXTRAS_STYLE_CONTROL_CHECKBOX_CUSTOM,By.CSS_SELECTOR,.content-profile-extras>.style-footer>.control-checkbox>label>.custom-checkbox,1246,589,20,20
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
