OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_MATERIALS_MATERIAL,By.CLASS_NAME,tab-materials-material,1232,0,368,62
CONTENT_MATERIALS_MATERIAL_STYLE_MATERIAALIT,By.CSS_SELECTOR,.content-materials-material>.style-header>h2,1240,80,352,28
CONTENT_MATERIALS_MATERIAL_STYLE_CONTAINER_LIST_VALITSE_MIELEISESI_PINTAMATERIAALIT,By.CSS_SELECTOR,.content-materials-material>.style-container-list>p,1240,150,335,20
STYLE_MULTITHUMB_TWO_THUMB,By.CSS_SELECTOR,div.style.style-multithumb.style-multithumb-two>div.style-thumb>img,1246,192,60,60
STYLE_MULTITHUMB_TWO_MAALATUT_LASIT,By.CSS_SELECTOR,div.style.style-multithumb.style-multithumb-two>div.style-label,1322,204,255,33
ID_MATERIALS_DESELECT_ALL,By.ID,materials-deselect-all,1240,583,352,32
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
CONTAINS_TEXT_PINTAMATERIAALIT,By.XPATH,//h2[contains(text()@@@"Pintamateriaalit")],145,480,190,30
BODY_PINTAMATERIAALIT_VALITSE_VAAKA_PUUNSYYMATERIAALEILLA_ON_MAKSIMIKORKEUS_SAAT_PINNAN_VAAKAAN,By.XPATH,//BODY/SECTION[6]/DIV[1],125,440,230,306
