OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
EMBER857_GLYPHICON_USER,By.CSS_SELECTOR,#ember857>.glyphicon-user,1162,18,12,12
EMBER942_GLYPHICON_BRIEFCASE,By.CSS_SELECTOR,#ember942>.glyphicon-briefcase,1258,18,12,12
CLASS_GLYPHICON_QUESTION_SIGN,By.CLASS_NAME,glyphicon-question-sign,1444,18,12,12
EMBER757_GLYPHICON_LOG_OUT,By.CSS_SELECTOR,#ember757>.glyphicon-log-out,1477,18,12,12
CLASS_LOGO_MAIN,By.CLASS_NAME,logo-main,80,20,100,100
CLASS_NOTIFICATION,By.CLASS_NAME,notification,180,30,4,4
GLYPHICON_BRIEFCASE,By.CSS_SELECTOR,h1>.glyphicon-briefcase,452,106,31,31
CLASS_GLYPHICON_DASHBOARD,By.CLASS_NAME,glyphicon-dashboard,32,166,14,14
RETAILERS,By.CSS_SELECTOR,h2,467,172,910,33
EMBER992_GLYPHICON_SHOPPING_CART,By.CSS_SELECTOR,#ember992>.glyphicon-shopping-cart,32,202,14,14
ID_RETAILER_CONTENT_FLOATED_1,By.XPATH,id(\'retailer-content-floated\')/DIV[1]/DIV[1]/DIV[1]/DIV[2]/DIV[1]/TABLE[1]/THEAD[1]/TR[1]/TH[1],467,215,199,38
CONTAINS_TEXT_LOCATION,By.XPATH,//th[contains(text()@@@"Location")],666,215,84,38
CONTAINS_TEXT_APPLICATIONS,By.XPATH,//th[contains(text()@@@"Applications")],750,215,113,38
CONTAINS_TEXT_MANAGER_COUNT,By.XPATH,//th[contains(text()@@@"Manager count")],863,215,131,38
CONTAINS_TEXT_CHILD_RETAILER_COUNT,By.XPATH,//th[contains(text()@@@"Child retailer count")],994,215,163,38
ID_RETAILER_CONTENT_FLOATED_7,By.XPATH,id(\'retailer-content-floated\')/DIV[1]/DIV[1]/DIV[1]/DIV[2]/DIV[1]/TABLE[1]/THEAD[1]/TR[1]/TH[6],1157,215,220,38
EMBER1013_GLYPHICON,By.CSS_SELECTOR,#ember1013>.glyphicon-th,32,238,14,14
ID_EMBER1386,By.ID,ember1386,1165,262,83,30
ID_RETAILER_CONTENT_FLOATED_ON_OF_0,By.XPATH,id(\'retailer-content-floated\')/DIV[1]/DIV[1]/DIV[1]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TD[6]/DIV[1]/BUTTON[1],1247,262,30,30
ID_EMBER1406,By.ID,ember1406,1305,262,53,30
ID_RETAILER_CONTENT_FLOATED_KOSTI_TESTAA,By.XPATH,id(\'retailer-content-floated\')/DIV[1]/DIV[1]/DIV[1]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/STRONG[1],475,264,102,16
EMBER1371_ALT_BRAND,By.CSS_SELECTOR,#ember1371>img[alt="Brand"],475,265,16,16
ID_RETAILER_CONTENT_FLOATED_ON_OF_14,By.XPATH,id(\'retailer-content-floated\')/DIV[1]/DIV[1]/DIV[1]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TD[6]/DIV[1]/BUTTON[1]/SPAN[2],1265,267,1,1
