OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CONTENT_FURNITURE_COLOUR_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT,By.CSS_SELECTOR,.content-furniture-colour>.style-container-list>div.style.data-set-save-data-bint>.selection-checked>.icon,1488,151,409,80
BODY_VALKEA_LINE,By.XPATH,//BODY/SECTION[14]/DIV[2]/DIV[2]/DIV[2]/DIV[2],1486,245,413,84
BODY_HARMAA,By.XPATH,//BODY/SECTION[14]/DIV[2]/DIV[2]/DIV[2]/DIV[3],1486,342,413,84
BODY_ANTRASIITTI,By.XPATH,//BODY/SECTION[14]/DIV[2]/DIV[2]/DIV[2]/DIV[4],1486,438,413,84
BODY_RUSKEA_LINE,By.XPATH,//BODY/SECTION[14]/DIV[2]/DIV[2]/DIV[2]/DIV[5],1486,535,413,84
BODY_TUMMA_PAHKINA,By.XPATH,//BODY/SECTION[14]/DIV[2]/DIV[2]/DIV[2]/DIV[6],1486,631,413,84
BODY_HKIN,By.XPATH,//BODY/SECTION[14]/DIV[2]/DIV[2]/DIV[2]/DIV[7],1486,728,413,84
CLASS_DISABLE_ELEMENT,By.CLASS_NAME,disable-element,0,766,192,68
CLASS_ELEMENT_RESTART,By.CLASS_NAME,element-restart,288,766,288,68
CLASS_ELEMENT_ENABLE,By.CLASS_NAME,element-enable,1632,766,288,68
BODY_TAMMI,By.XPATH,//BODY/SECTION[14]/DIV[2]/DIV[2]/DIV[2]/DIV[8],1486,824,413,84
BODY_PY_KKI,By.XPATH,//BODY/SECTION[14]/DIV[2]/DIV[2]/DIV[2]/DIV[9],1486,921,413,84
