OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_PROFILE_GROUP,By.CLASS_NAME,tab-profile-group,1478,0,221,77
CLASS_TAB_ENABLED_2,By.CLASS_NAME,tab-enabled-2,1699,0,221,77
CONTENT_PROFILE_OPTIONS_STYLE_VALITSE_MIELEISESI_PROFIILIS_VY,By.CSS_SELECTOR,.content-profile-options>.style-header>h2,1486,95,426,28
ALT_PANELPROFILE_WHITE,By.CSS_SELECTOR,img[alt="panelprofile_white"],1492,151,69,69
CONTENT_PROFILE_OPTIONS_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT,By.CSS_SELECTOR,.content-profile-options>.style-container-list>div.style.data-set-save-data-bint>div.style-label,1568,167,346,33
ALT_PANELPROFILE_SILVER,By.CSS_SELECTOR,img[alt="panelprofile_silver"],1492,247,69,69
ALT_PANELPROFILE_SATIN_GOLD,By.CSS_SELECTOR,img[alt="panelprofile_satin_gold"],1492,344,69,69
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,785,192,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,192,785,96,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,288,785,288,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1632,785,288,23
MAIN_CONTAINER_CURRENCY,By.CSS_SELECTOR,.main-container>.currency,1410,788,9,22
CLASS_PRICE,By.CLASS_NAME,price,1425,788,61,22
MEASURE_TITLE_MITTAA_JA_RAKENNA,By.CSS_SELECTOR,.section-measure>.section-title>span,0,855,480,23
DESIGN_TITLE_LIUKUOVIEN_SUUNNITTELU,By.CSS_SELECTOR,.section-design>.section-title>span,480,855,480,23
STRUCTURE_TITLE_RUNGON_SUUNNITTELU,By.CSS_SELECTOR,.section-structure>.section-title>span,960,855,480,23
SAVE_TITLE_TALLENNUS_JA_YHTEYDENOTTO,By.CSS_SELECTOR,.section-save>.section-title>span,1440,855,480,23
CRUMB_1_ACTIVE,By.CSS_SELECTOR,div.crumb.crumb-1.active,89,928,19,19
CRUMB_2_ACTIVE,By.CSS_SELECTOR,div.crumb.crumb-2.active,161,928,19,19
CLASS_CURRENT,By.CLASS_NAME,current,236,931,13,13
CLASS_CRUMB_4,By.CLASS_NAME,crumb-4,308,931,13,13
CLASS_CRUMB_5,By.CLASS_NAME,crumb-5,380,931,13,13
DESIGN_CRUMB_THREEWAY_1,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.crumb-1,572,931,13,13
DESIGN_CRUMB_THREEWAY_2,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.crumb-2,716,931,13,13
DESIGN_CRUMB_THREEWAY_3,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.crumb-3,860,931,13,13
CRUMB_TWOWAY_1,By.CSS_SELECTOR,.section-crumb-twoway>.crumb-1,1052,931,13,13
CRUMB_TWOWAY_2,By.CSS_SELECTOR,.section-crumb-twoway>.crumb-2,1340,931,13,13
SAVE_CRUMB_THREEWAY_1,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.crumb-1,1532,931,13,13
SAVE_CRUMB_THREEWAY_2,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.crumb-2,1676,931,13,13
SAVE_CRUMB_THREEWAY_3,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.crumb-3,1820,931,13,13
LINE_1_ACTIVE,By.CSS_SELECTOR,div.line.line-1.active,96,935,72,1
LINE_2_ACTIVE,By.CSS_SELECTOR,div.line.line-2.active,168,935,72,1
CLASS_LINE_3,By.CLASS_NAME,line-3,240,935,72,1
CLASS_LINE_4,By.CLASS_NAME,line-4,312,935,72,1
DESIGN_CRUMB_THREEWAY_LINE_1,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.line-1,576,935,144,1
DESIGN_CRUMB_THREEWAY_LINE_2,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.line-2,720,935,144,1
CRUMB_TWOWAY_LINE_1,By.CSS_SELECTOR,.section-crumb-twoway>.line-1,1056,935,288,1
SAVE_CRUMB_THREEWAY_LINE_1,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.line-1,1536,935,144,1
SAVE_CRUMB_THREEWAY_LINE_2,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.line-2,1680,935,144,1
