OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
EMBER1029_GLYPHICON_USER,By.CSS_SELECTOR,#ember1029>.glyphicon-user,1164,19,12,12
EMBER1037_GLYPHICON_BRIEFCASE,By.CSS_SELECTOR,#ember1037>.glyphicon-briefcase,1261,19,12,12
CLASS_GLYPHICON_QUESTION_SIGN,By.CLASS_NAME,glyphicon-question-sign,1444,19,12,12
EMBER768_GLYPHICON_LOG_OUT,By.CSS_SELECTOR,#ember768>.glyphicon-log-out,1477,19,12,12
CLASS_LOGO_MAIN,By.CLASS_NAME,logo-main,80,20,100,100
CLASS_NOTIFICATION,By.CLASS_NAME,notification,180,30,4,4
GLYPHICON_BRIEFCASE,By.CSS_SELECTOR,h1>.glyphicon-briefcase,452,106,31,31
CLASS_GLYPHICON_DASHBOARD,By.CLASS_NAME,glyphicon-dashboard,32,166,14,14
CLASS_GLYPHICON_SHOPPING_CART,By.CLASS_NAME,glyphicon-shopping-cart,32,202,14,14
ID_EMBER4085,By.ID,ember4085,707,229,430,34
CLASS_GLYPHICON_TH,By.CLASS_NAME,glyphicon-th,32,238,14,14
CLASS_GLYPHICON_CERTIFICATE,By.CLASS_NAME,glyphicon-certificate,32,274,14,14
DELIVERY_PRICE,By.CSS_SELECTOR,h3,707,283,430,26
EMBER1105_GLYPHICON_BRIEFCASE,By.CSS_SELECTOR,#ember1105>.glyphicon-briefcase,32,310,14,14
ID_EMBER4086,By.ID,ember4086,707,344,430,34
CLASS_GLYPHICON_GBP,By.CLASS_NAME,glyphicon-gbp,32,346,14,14
EMBER1129_GLYPHICON_USER,By.CSS_SELECTOR,#ember1129>.glyphicon-user,32,382,14,14
CLASS_GLYPHICON_COG,By.CLASS_NAME,glyphicon-cog,32,418,14,14
ID_EMBER4087,By.ID,ember4087,707,460,430,34
RETAILER_SIDEBAR,By.CSS_SELECTOR,#retailer-sidebar>hr,0,464,260,2
EMBER781_GLYPHICON_USER,By.CSS_SELECTOR,#ember781>.glyphicon-user,32,496,14,14
EMBER803_GLYPHICON_LOG_OUT,By.CSS_SELECTOR,#ember803>.glyphicon-log-out,32,532,14,14
ID_EMBER4088,By.ID,ember4088,707,534,430,34
ID_EMBER4089,By.ID,ember4089,707,608,430,34
ID_EMBER4090,By.ID,ember4090,707,682,430,34
ID_EMBER4091,By.ID,ember4091,707,756,430,34
set_prices_link,By.LINK_TEXT,Set prices,0,336,260,36
vat_multiplier_field,By.XPATH,//div[@id='retailer-content-floated']/div/div/div/div[2]/div/div/input,707,229,430,34
