OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
SELECTABLE_VALUE_0_INNER_NUM,By.CSS_SELECTOR,.selectable-value-0>.inner-num,1231,16,10,10
SELECTABLE_VALUE_1_INNER_NUM,By.CSS_SELECTOR,.selectable-value-1>.inner-num,1231,78,10,10
SELECTABLE_VALUE_2_INNER_NUM,By.CSS_SELECTOR,.selectable-value-2>.inner-num,1231,141,10,10
SELECTABLE_VALUE_3_INNER_NUM,By.CSS_SELECTOR,.selectable-value-3>.inner-num,1231,203,10,10
CLASS_SELECTED_VALUE_GROUP_LABEL_HEIGHT,By.CLASS_NAME,selected-value-group-label-height,304,237,480,44
CLASS_SELECTED_VALUE_GROUP_LABEL_WIDTH,By.CLASS_NAME,selected-value-group-label-width,816,237,480,44
SELECTABLE_VALUE_4_INNER_NUM,By.CSS_SELECTOR,.selectable-value-4>.inner-num,1231,265,10,10
SELECTED_VALUE_GROUP_HEIGHT_0_INNER_NUM_2,By.CSS_SELECTOR,.selected-value-group-height>.selected-value-0>.inner-num,359,297,10,10
SELECTED_VALUE_GROUP_HEIGHT_1_INNER_NUM_5,By.CSS_SELECTOR,.selected-value-group-height>.selected-value-1>.inner-num,479,297,10,10
SELECTED_VALUE_GROUP_HEIGHT_2_INNER_NUM_0,By.CSS_SELECTOR,.selected-value-group-height>.selected-value-2>.inner-num,599,297,10,10
SELECTED_VALUE_GROUP_HEIGHT_3_INNER_NUM_0,By.CSS_SELECTOR,.selected-value-group-height>.selected-value-3>.inner-num,719,297,10,10
SELECTED_VALUE_GROUP_WIDTH_0_INNER_NUM,By.CSS_SELECTOR,.selected-value-group-width>.selected-value-0>.inner-num,871,297,10,10
SELECTED_VALUE_GROUP_WIDTH_1_INNER_NUM_2,By.CSS_SELECTOR,.selected-value-group-width>.selected-value-1>.inner-num,991,297,10,10
SELECTED_VALUE_GROUP_WIDTH_2_INNER_NUM_0,By.CSS_SELECTOR,.selected-value-group-width>.selected-value-2>.inner-num,1111,297,10,10
SELECTED_VALUE_GROUP_WIDTH_3_INNER_NUM_0,By.CSS_SELECTOR,.selected-value-group-width>.selected-value-3>.inner-num,1231,297,10,10
SELECTABLE_VALUE_5_INNER_NUM,By.CSS_SELECTOR,.selectable-value-5>.inner-num,1231,328,10,10
SELECTABLE_VALUE_6_INNER_NUM,By.CSS_SELECTOR,.selectable-value-6>.inner-num,1231,390,10,10
SELECTABLE_VALUE_7_INNER_NUM,By.CSS_SELECTOR,.selectable-value-7>.inner-num,1231,452,10,10
SELECTABLE_VALUE_8_INNER_NUM,By.CSS_SELECTOR,.selectable-value-8>.inner-num,1231,515,10,10
SELECTABLE_VALUE_9_INNER_NUM,By.CSS_SELECTOR,.selectable-value-9>.inner-num,1231,577,10,10
ELEMENT_BACK_TAKAISIN,By.CSS_SELECTOR,.element-back>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
