OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_ENABLED_1,By.CLASS_NAME,tab-enabled-1,1232,0,368,62
CONTENT_DOOR_COUNT_STYLE_VALITSE_LIUKUOVIEN_R,By.CSS_SELECTOR,.content-door-count>.style-header>h2,1240,80,352,28
UNKNOWN,By.CSS_SELECTOR,br,1240,134,0,20
STYLE_DOORCOUNT_3_DOORICON,By.CSS_SELECTOR,.style-doorcount-3>div.dooricon,1246,180,26,62
CLASS_BG,By.CLASS_NAME,bg,1240,256,72,74
CLASS_ICON,By.CLASS_NAME,icon,1240,256,72,74
STYLE_DOORCOUNT_2_DOORICON,By.CSS_SELECTOR,.style-doorcount-2>div.dooricon,1246,262,26,62
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
CLASS_ICON,By.CLASS_NAME,icon,1240,256,72,74
CLASS_STYLE_DOORCOUNT_3,By.CLASS_NAME,style-doorcount-3,1240,174,106,74
